Payment Method:,Način Plaćanja:,module,Smdesign_Intesapay
Order ID,ID porudžbine,module,Smdesign_Intesapay
Address,Adresa,module,Smdesign_Intesapay
City,Grad,module,Smdesign_Intesapay
Country,Država,module,Smdesign_Intesapay
Phone,Telefon,module,Smdesign_Intesapay
Continue Shopping,Nastavite kupovinu,module,Smdesign_Intesapay
Thank you for your purchase!,Zahvaljujemo Vam se na kupovini!,module,Smdesign_Intesapay
Email,E-pošta,module,Smdesign_Intesapay
Shipping Address,Adresa za isporuku,module,Smdesign_Intesapay
Close,Zatvori,theme,frontend/Clarus/breg2
Categories,Kategorije,theme,frontend/Clarus/breg2
Products,Proizvodi,theme,frontend/Clarus/breg2
Sale,Prodaja,theme,frontend/Clarus/breg2
New,Novo,theme,frontend/Clarus/breg2
Options,Opcije,theme,frontend/Clarus/breg2
Add to Cart,Dodaj u korpu,theme,frontend/Clarus/breg2
Add to Compare,Dodaj za upoređivanje,theme,frontend/Clarus/breg2
My Account,Moj nalog,theme,frontend/Clarus/breg2
You removed the item.,Vi ste uklonili stavku.,theme,frontend/Clarus/breg2
My Cart,Korpa,theme,frontend/Clarus/breg2
Sku,Šifra,theme,frontend/Clarus/breg2
Subtotal,Međuzbir,theme,frontend/Clarus/breg2
Checkout,Plaćanje,theme,frontend/Clarus/breg2
View and Edit Cart,Pregled i Izmena Korpe,theme,frontend/Clarus/breg2
Continue Shopping,Nastavite kupovinu,theme,frontend/Clarus/breg2
Qty,Kol,theme,frontend/Clarus/breg2
%1 items,%1 stavke,theme,frontend/Clarus/breg2
Menu,Meni,theme,frontend/Clarus/breg2
Compare Products,Poređenje proizvoda,theme,frontend/Clarus/breg2
My Account,Moj nalog,theme,frontend/Webkul/hyva_child
Email Address,Email adresa,theme,frontend/Webkul/hyva_child
Enter your email address,Unesite vašu email adresu,theme,frontend/Webkul/hyva_child
Subscribe,Pretplati se,theme,frontend/Webkul/hyva_child
Write Your Own Review,Write Your Own Recenzija,theme,frontend/Webkul/hyva_child
Your Rating,Your Ocena,theme,frontend/Webkul/hyva_child
Summary,Rezime,theme,frontend/Webkul/hyva_child
Review,Recenzija,theme,frontend/Webkul/hyva_child
Submit Review,Pošalji Recenzija,theme,frontend/Webkul/hyva_child
Loading...,Učitavanje...,theme,frontend/Webkul/hyva_child
Customer Reviews,Kupac Recenzije,theme,frontend/Webkul/hyva_child
Review by,Pregled od strane,theme,frontend/Webkul/hyva_child
Language,Jezik,theme,frontend/Webkul/hyva_child
You removed the item.,Vi ste uklonili stavku.,theme,frontend/Webkul/hyva_child
My Cart,Korpa,theme,frontend/Webkul/hyva_child
Subtotal,Međuzbir,theme,frontend/Webkul/hyva_child
Checkout,Plaćanje,theme,frontend/Webkul/hyva_child
or,ili,theme,frontend/Webkul/hyva_child
View and Edit Cart,Pregled i Izmena Korpe,theme,frontend/Webkul/hyva_child
Compare Products,Poređenje proizvoda,theme,frontend/Webkul/hyva_child
item,stavka,theme,frontend/Webkul/hyva_child
items,stavke,theme,frontend/Webkul/hyva_child
View All,Prikaži svе,theme,frontend/Webkul/hyva_child
Minimum Search query length is %1,Minimalna dužina niza pretrage je %1,theme,frontend/Webkul/hyva_child
Search,Pretraga,theme,frontend/Webkul/hyva_child
Search entire store here...,Ovde Pretražite celu prodavnicu...,theme,frontend/Webkul/hyva_child
%1 Item,%1 stavka,theme,frontend/Webkul/hyva_child
%1 Item(s),%1 artikal/artikala,theme,frontend/Webkul/hyva_child
Previous,Prethodni,theme,frontend/Webkul/hyva_child
Page,Stranica,theme,frontend/Webkul/hyva_child
You're currently reading page,Trenutno čitate stranicu,theme,frontend/Webkul/hyva_child
Next,Sledeće,theme,frontend/Webkul/hyva_child
Show,Prikaži,theme,frontend/Webkul/hyva_child
Show more,Prikaži more,theme,frontend/Webkul/hyva_child
1 item,1 stavka,theme,frontend/Webkul/hyva_child
Shop By,Kupiti po,theme,frontend/Webkul/hyva_child
We can't find products matching the selection.,Ne možemo pronaći proizvode koji zadovoljavaju traženo.,theme,frontend/Clarus/flutto
Configure,Podesi,theme,frontend/Clarus/flutto
Add to Cart,Dodaj u korpu,theme,frontend/Clarus/flutto
Add to Wish List,Dodaj u listu želja,theme,frontend/Clarus/flutto
Add to Compare,Dodaj za upoređivanje,theme,frontend/Clarus/flutto
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Kupiti %1 za %2 svaki i <strong class=""benefit"">sačuvati<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>",theme,frontend/Clarus/flutto
Buy %1 for %2 each,Kupiti %1 za %2 svaki,theme,frontend/Clarus/flutto
%1 has been added to your Wish List.,%1 je added to your Wish Lista.,theme,frontend/Clarus/flutto
Update Wish List,Ažuriraj Wish Lista,theme,frontend/Clarus/flutto
Excl. Tax,Bez poreza,theme,frontend/Clarus/flutto
As low as,Sniženje,theme,frontend/Clarus/flutto
Quantity,Količina,theme,frontend/Clarus/flutto
Recently Viewed Products,Nedavno pregledani proizvodi,theme,frontend/Clarus/flutto
View Product,Pregled Proizvod,theme,frontend/Clarus/flutto
Previous,Prethodni,theme,frontend/Clarus/flutto
Next,Sledeće,theme,frontend/Clarus/flutto
My Account,Moj nalog,theme,frontend/Clarus/flutto
Email Address,Email adresa,theme,frontend/Clarus/flutto
Enter your email address,Unesite vašu email adresu,theme,frontend/Clarus/flutto
Subscribe,Pretplati se,theme,frontend/Clarus/flutto
Write Your Own Review,Write Your Own Recenzija,theme,frontend/Clarus/flutto
Your Rating,Your Ocena,theme,frontend/Clarus/flutto
Summary,Rezime,theme,frontend/Clarus/flutto
Review,Recenzija,theme,frontend/Clarus/flutto
Submit Review,Pošalji Recenzija,theme,frontend/Clarus/flutto
Loading...,Učitavanje...,theme,frontend/Clarus/flutto
Customer Reviews,Kupac Recenzije,theme,frontend/Clarus/flutto
Review by,Pregled od strane,theme,frontend/Clarus/flutto
Language,Jezik,theme,frontend/Clarus/flutto
You removed the item.,Vi ste uklonili stavku.,theme,frontend/Clarus/flutto
My Cart,Korpa,theme,frontend/Clarus/flutto
Subtotal,Međuzbir,theme,frontend/Clarus/flutto
Checkout,Plaćanje,theme,frontend/Clarus/flutto
or,ili,theme,frontend/Clarus/flutto
View and Edit Cart,Pregled i Izmena Korpe,theme,frontend/Clarus/flutto
Compare Products,Poređenje proizvoda,theme,frontend/Clarus/flutto
item,stavka,theme,frontend/Clarus/flutto
items,stavke,theme,frontend/Clarus/flutto
View All,Prikaži svе,theme,frontend/Clarus/flutto
Minimum Search query length is %1,Minimalna dužina niza pretrage je %1,theme,frontend/Clarus/flutto
Search,Pretraga,theme,frontend/Clarus/flutto
Search entire store here...,Ovde Pretražite celu prodavnicu...,theme,frontend/Clarus/flutto
%1 Item,%1 stavka,theme,frontend/Clarus/flutto
%1 Item(s),%1 artikal/artikala,theme,frontend/Clarus/flutto
Page,Stranica,theme,frontend/Clarus/flutto
You're currently reading page,Trenutno čitate stranicu,theme,frontend/Clarus/flutto
Show,Prikaži,theme,frontend/Clarus/flutto
Show more,Prikaži more,theme,frontend/Clarus/flutto
1 item,1 stavka,theme,frontend/Clarus/flutto
Shop By,Kupiti po,theme,frontend/Clarus/flutto
Back,Nazad,module,Experius_MissingTranslations
Are you sure you want to do this?,Jeste li sigurni da želite da uradite ovo?,module,Experius_MissingTranslations
Save and Continue Edit,Sačuvaj i nastavi uređivanje,module,Experius_MissingTranslations
Please correct the data sent.,Ispravite poslate podatke.,module,Experius_MissingTranslations
Edit,Izmeni,module,Experius_MissingTranslations
Delete,Obrisati,module,Experius_MissingTranslations
A total of %1 record(s) have been deleted.,Ukupno %1 zapis(a) je uklonjeno.,module,Hryvinskyi_Csp
A total of %1 record(s) have been updated.,Ukupno %1 zapis(a) je promenjeno.,module,Hryvinskyi_Csp
Please correct the data sent.,Ispravite poslate podatke.,module,Hryvinskyi_Csp
Please select,Izaberite,module,Hryvinskyi_Csp
N/A,N/A - nije dostupno,module,Hryvinskyi_Csp
Pending,Na čekanju,module,Hryvinskyi_Csp
View,Pregled,module,Hryvinskyi_Csp
Delete,Obrisati,module,Hryvinskyi_Csp
Unknown,Nepoznato,module,Hryvinskyi_Csp
Edit,Izmeni,module,Hryvinskyi_Csp
"Are you sure you wan't to delete a ""%1"" record?","Da li ste sigurni da želite da obrišete ""%1"" zapis?",module,Hryvinskyi_Csp
Loading...,Učitavanje...,theme,frontend/Hyva/default
Excl. Tax,Bez poreza,theme,frontend/Hyva/default
Your Customization,Vaše prilagođavanje,theme,frontend/Hyva/default
Summary,Rezime,theme,frontend/Hyva/default
None,Ništa,theme,frontend/Hyva/default
Quantity,Količina,theme,frontend/Hyva/default
Choose a selection...,Odaberite selekciju...,theme,frontend/Hyva/default
Customize %1,Prilagodi %1,theme,frontend/Hyva/default
No options of this product are available.,Ni jedna opcija za ovaj proizvod nije dostupna.,theme,frontend/Hyva/default
Buy %1 with %2 discount each,Kupi %1 sa %2 popustom za svaki,theme,frontend/Hyva/default
Shop By,Kupiti po,theme,frontend/Hyva/default
Category,Kategorija,theme,frontend/Hyva/default
Are you sure you want to remove this item from your Compare Products list?,Da li ste sigurni da želite da uklonite ovu stavku sa liste za poređenje proizvoda?,theme,frontend/Hyva/default
Print This Page,Štampaj ovu stranu,theme,frontend/Hyva/default
Compare Products,Poređenje proizvoda,theme,frontend/Hyva/default
Product,Proizvod,theme,frontend/Hyva/default
Add to Cart,Dodaj u korpu,theme,frontend/Hyva/default
Add to Wish List,Dodaj u listu želja,theme,frontend/Hyva/default
Remove Product,Ukloni proizvod,theme,frontend/Hyva/default
You have no items to compare.,Nemate artikle za poređenje.,theme,frontend/Hyva/default
Are you sure you want to remove all items from your Compare Products list?,Da li ste sigurni da želite da uklonite sve stavke sa liste za poređenje proizvoda?,theme,frontend/Hyva/default
Compare,Poredi,theme,frontend/Hyva/default
Remove All,Ukloni sve,theme,frontend/Hyva/default
-- Please Select --,-- Molim odaberite --,theme,frontend/Hyva/default
We can't find products matching the selection.,Ne možemo pronaći proizvode koji zadovoljavaju traženo.,theme,frontend/Hyva/default
Configure,Podesi,theme,frontend/Hyva/default
Add to Compare,Dodaj za upoređivanje,theme,frontend/Hyva/default
%1 has been added to your Wish List.,%1 je added to your Wish Lista.,theme,frontend/Hyva/default
Items %1-%2 of %3,Stavke %1-%2 od %3,theme,frontend/Hyva/default
%1 Item,%1 stavka,theme,frontend/Hyva/default
%1 Items,%1 stavke,theme,frontend/Hyva/default
Show,Prikaži,theme,frontend/Hyva/default
Sort By,Poređaj po,theme,frontend/Hyva/default
Set Ascending Direction,Postavi rastući smer,theme,frontend/Hyva/default
Set Descending Direction,Postavi opadajući smer,theme,frontend/Hyva/default
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Kupiti %1 za %2 svaki i <strong class=""benefit"">sačuvati<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>",theme,frontend/Hyva/default
Buy %1 for %2 each,Kupiti %1 za %2 svaki,theme,frontend/Hyva/default
Product Info,Proizvod Informacija,theme,frontend/Hyva/default
Product Reviews,Proizvod Recenzije,theme,frontend/Hyva/default
Update Wish List,Ažuriraj Wish Lista,theme,frontend/Hyva/default
Home,Početna,theme,frontend/Hyva/default
Go to Home Page,Idi na početnu stranicu,theme,frontend/Hyva/default
Gallery,Galerija,theme,frontend/Hyva/default
Previous,Prethodni,theme,frontend/Hyva/default
Next,Sledeće,theme,frontend/Hyva/default
Customizable Options,Prilagodljive opcije,theme,frontend/Hyva/default
Change,Promena,theme,frontend/Hyva/default
Compatible file extensions to upload,Kompatibilna ekstenzija fajla za aploud,theme,frontend/Hyva/default
Maximum image width,Maksimalna širina slike,theme,frontend/Hyva/default
Maximum image height,Maksimalna visina slike,theme,frontend/Hyva/default
Maximum %1 characters,Maksimalno %1 karaktera,theme,frontend/Hyva/default
As low as,Sniženje,theme,frontend/Hyva/default
Description,Opis,theme,frontend/Hyva/default
Availability,Dostupnost,theme,frontend/Hyva/default
In stock,Na stanju,theme,frontend/Hyva/default
Out of stock,Nema na lageru,theme,frontend/Hyva/default
Recently Viewed Products,Nedavno pregledani proizvodi,theme,frontend/Hyva/default
View Product,Pregled Proizvod,theme,frontend/Hyva/default
Only %1 left,Samo %1 je ostao,theme,frontend/Hyva/default
Please enter a valid price range.,Molimo unesite validni opseg cene.,theme,frontend/Hyva/default
From,Od,theme,frontend/Hyva/default
To,Do,theme,frontend/Hyva/default
All,Sve,theme,frontend/Hyva/default
Yes,Da,theme,frontend/Hyva/default
No,Ne,theme,frontend/Hyva/default
Search Settings,Podešavanje pretrage,theme,frontend/Hyva/default
Search,Pretraga,theme,frontend/Hyva/default
<strong>%1 items</strong> were found using the following search criteria,<strong>%1 proizvod</strong> je pronađen koristeći sledeće kriterijume pretrage,theme,frontend/Hyva/default
Modify your search.,Prilagodite svoju pretragu.,theme,frontend/Hyva/default
name,naziv,theme,frontend/Hyva/default
Don't see what you're looking for?,Ne vidite ono što tražite?,theme,frontend/Hyva/default
Print receipt,Štampa priznanice,theme,frontend/Hyva/default
Something went wrong. Please try again.,Nešto je pošlo naopako. Pokušaj ponovo.,theme,frontend/Hyva/default
Shopping Cart,Korpa,theme,frontend/Hyva/default
Order #,Porudžbina #,theme,frontend/Hyva/default
Continue Shopping,Nastavite kupovinu,theme,frontend/Hyva/default
Apply Discount Code,Primeni kod za popust,theme,frontend/Hyva/default
Enter discount code,Unesi kod za popust,theme,frontend/Hyva/default
Apply Discount,Primeni popust,theme,frontend/Hyva/default
Cancel Coupon,Otkaži kupon,theme,frontend/Hyva/default
Shopping Cart Items,Artikli u kolicima za kupovinu,theme,frontend/Hyva/default
Update Shopping Cart,Ažuriranje korpe sa artiklima,theme,frontend/Hyva/default
Clear Shopping Cart,Isprazni korpu,theme,frontend/Hyva/default
Cancel,Odustani,theme,frontend/Hyva/default
Update Cart,Ažuriraj korpu,theme,frontend/Hyva/default
Qty,Kol,theme,frontend/Hyva/default
Price,Cena,theme,frontend/Hyva/default
Subtotal,Međuzbir,theme,frontend/Hyva/default
Remove %1,Ukloni %1,theme,frontend/Hyva/default
Go to Checkout,Go to Naplata,theme,frontend/Hyva/default
You have no items in your shopping cart.,Nemate artikle u korpi.,theme,frontend/Hyva/default
Proceed to Checkout,Nastavi ka plaćanju,theme,frontend/Hyva/default
Estimate Tax,Procenjene takse,theme,frontend/Hyva/default
Estimate Shipping and Tax,Procenjena dostava i takse,theme,frontend/Hyva/default
Country,Država,theme,frontend/Hyva/default
State/Province,Država,theme,frontend/Hyva/default
"Please select a region, state or province.",Molimo odaberite mesto.,theme,frontend/Hyva/default
Zip/Postal Code,Poštanski broj,theme,frontend/Hyva/default
Shipping Methods,Način Dostave,theme,frontend/Hyva/default
Incl. Tax,Iznos sa PDV,theme,frontend/Hyva/default
You can track your order status by creating an account.,Status vaše porudžbine možete pratiti stvaranjem korisničkog profila.,theme,frontend/Hyva/default
Email Address:,E-mail adresa:,theme,frontend/Hyva/default
Create an Account,Kreiraj Nalog,theme,frontend/Hyva/default
Your order number is: %1.,Broj Vaše porudžbine je: %1.,theme,frontend/Hyva/default
Your order # is: <span>%1</span>.,Vaša porudžbina # je: <span>%1</span>.,theme,frontend/Hyva/default
We'll email you an order confirmation with details and tracking info.,"Poslaćemo vam potvrdu porudžbine na mejl, sa detaljima i informacijama za praćenje pošiljke.",theme,frontend/Hyva/default
Buy %1 for %2 each and,Kupi %1 za %2 svaki i,theme,frontend/Hyva/default
save,sačuvaj,theme,frontend/Hyva/default
Options,Opcije,theme,frontend/Hyva/default
Choose an Option...,Odaberite Opciju...,theme,frontend/Hyva/default
Write Us,Pišite Nam,theme,frontend/Hyva/default
Jot us a note and we’ll get back to you as quickly as possible.,Ostavite nam poruku i javićemo vam se što je pre moguće.,theme,frontend/Hyva/default
Name,Ime,theme,frontend/Hyva/default
Email,E-pošta,theme,frontend/Hyva/default
Phone Number,Broj telefona,theme,frontend/Hyva/default
What’s on your mind?,Šta Vam je na umu?,theme,frontend/Hyva/default
Submit,Pošalji,theme,frontend/Hyva/default
We use cookies to make your experience better.,Mi koristimo kolačiće kako bi vaše iskustvo bilo bolje.,theme,frontend/Hyva/default
Close panel,Zatvori panel,theme,frontend/Hyva/default
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","Da bi smo uskladili novu direktivu o e-privatnosti, moramo zatražiti vašu saglasnost da podesite kolačiće.",theme,frontend/Hyva/default
Allow Cookies,Dopusti kolačiće,theme,frontend/Hyva/default
Customer Login,Prijava Korisnika,theme,frontend/Hyva/default
Checkout using your account,Plaćanje preko ličnog naloga,theme,frontend/Hyva/default
Email Address,Email adresa,theme,frontend/Hyva/default
Password,Lozinka,theme,frontend/Hyva/default
Sign In,Prijava,theme,frontend/Hyva/default
Forgot Your Password?,Zaboravili ste lozinku?,theme,frontend/Hyva/default
Checkout as a new customer,Platite kao novi kupac,theme,frontend/Hyva/default
Creating an account has many benefits:,Kreiranje naloga ima puno prednosti:,theme,frontend/Hyva/default
See order and shipping status,Vidite porudžbinu i status pošiljke,theme,frontend/Hyva/default
Track order history,Istorija porudžbina,theme,frontend/Hyva/default
Check out faster,Brže plaćanje,theme,frontend/Hyva/default
Address Book,Adresar,theme,frontend/Hyva/default
Manage Addresses,Upravljajte adresama,theme,frontend/Hyva/default
Default Billing Address,Podrazumevana Adresa za Naplatu,theme,frontend/Hyva/default
Edit Address,Izmeni adresu,theme,frontend/Hyva/default
Default Shipping Address,Podrazumevana Adresa Dostave,theme,frontend/Hyva/default
Account Information,Informacije o korisničkom nalogu,theme,frontend/Hyva/default
Contact Information,Kontakt podaci,theme,frontend/Hyva/default
Edit,Izmeni,theme,frontend/Hyva/default
Change Password,Promeni lozinku,theme,frontend/Hyva/default
Newsletters,Bilten,theme,frontend/Hyva/default
"You are subscribed to ""General Subscription"".","Prijavljeni ste na ""Opšte Pretplate"".",theme,frontend/Hyva/default
You aren't subscribed to our newsletter.,Niste prijavljeni na naš newsletter.,theme,frontend/Hyva/default
My Account,Moj nalog,theme,frontend/Hyva/default
Default Addresses,Podrazumevane adrese,theme,frontend/Hyva/default
Change Billing Address,Promeni Adresu za Naplatu,theme,frontend/Hyva/default
You have no default billing address in your address book.,Nemate podrazumevanu adresu za naplatu u svom adresaru.,theme,frontend/Hyva/default
Change Shipping Address,Promeni Adresu Dostave,theme,frontend/Hyva/default
You have no default shipping address in your address book.,Nemate podrazumevanu adresu dostave u svom adresaru.,theme,frontend/Hyva/default
Customer Address,Adresa Kupca,theme,frontend/Hyva/default
* Required Fields,* Obavezna polja,theme,frontend/Hyva/default
Address,Adresa,theme,frontend/Hyva/default
Street Address %1,Ulica %1,theme,frontend/Hyva/default
City,Grad,theme,frontend/Hyva/default
It's a default billing address.,To je podrazumevana adresa za naplatu.,theme,frontend/Hyva/default
It's a default shipping address.,To je podrazumevana adresa za dostavu.,theme,frontend/Hyva/default
Use as my default billing address,Koristi kao moju podrazumevanu adresu za naplatu,theme,frontend/Hyva/default
Use as my default shipping address,Koristi moju podrazumevanu adresu dostave,theme,frontend/Hyva/default
Save Address,Sačuvaj adresu,theme,frontend/Hyva/default
Go back,Nazad,theme,frontend/Hyva/default
Provided Zip/Postal Code seems to be invalid.,Poštanski broj nije ispravan.,theme,frontend/Hyva/default
Example:,Primer:,theme,frontend/Hyva/default
